Word, Value
ab,-0.0006488098224628148
abaft,-0.0017802337156446887
abandon,0.006926991238145747
abandoned,0.0008443125680792227
abate,0.0007836373692778987
abated,0.0017647217811590024
abatement,0.0007751450836333423
abates,-0.0018464014733555847
abating,-0.0003830721509328987
abbe,0.00016891760736901243
abbey,-0.0012622779632059829
abbot,-9.000621611285743e-05
abbreviated,-0.006050629801036213
abbreviation,-0.003548949793908363
abbreviations,-0.023413384471269606
abed,-7.020529700555457e-05
abetted,-0.0009125719665353881
abettors,-0.0017549434407529978
abhor,-0.0007047684194304341
abhorred,-0.000742804730211272
abhorrence,-0.00036385660295300466
abhorring,-0.019907371769673877
abide,-0.001168947703933243
abiding,-0.0004068761757391301
abilities,0.000368960782933995
ability,0.010183663066029375
abject,-0.0012355911257339897
abjured,-0.009812231872797082
able,0.0008545809866384067
ablest,0.0009429728276584376
ably,0.0005652290754694218
aboard,-0.00034081572272190403
abode,-0.04979317356623248
abolish,-4.76713113348504e-05
abolished,-0.10085970470568302
abolishing,0.0012123500501788778
abolition,0.0009680172626922426
abominable,0.0009077552670396778
abominated,-0.001078770120623032
abominations,-0.0007044561147249766
abortive,-0.022020204391161754
abound,-0.0012245043086902478
abounding,-0.2616775181714573
abounds,-0.0014630754747518397
abridge,-0.0013051029461371693
abridged,-4.759683867431822e-05
abridging,-0.0008511392286280056
abridgment,0.07888586875468745
abroad,9.766568920952713e-05
abrogated,-0.00025940108913431265
abrupt,0.0012344235866043561
abruptly,0.0007301555888589463
abscess,-0.0012219874530767785
absence,0.0052027249280629335
absent,6.406250368359396e-09
absented,-0.010582191096757239
absentees,-0.0006758425974546994
absenting,-0.000731324729551172
absolute,7.968975067591066e-05
absolutely,0.03289093860997897
absolution,-0.018060427366599574
absolutists,-9.770893139951355e-05
absolves,-0.021775616955222975
absorb,0.0008374819036239595
absorbed,-0.008041797317872097
absorbing,-0.0015333368264481176
absorbs,-0.0008561497171973587
abstain,-0.0005950429639024704
abstained,-0.00027433726186814255
abstinence,-0.00019753833167095408
abstract,0.009170131796813828
abstracted,-5.9671819837379644e-05
abstraction,-9.770893139951355e-05
abstractionist,-0.00011307992837709588
abstractions,-0.0007047684194304341
abstracts,-0.000773623599170857
abstruse,-0.0001391477619072463
absurd,0.0006679516985634727
absurdities,-5.323754212365867e-05
absurdity,0.0005074727244921817
absurdly,-0.0013922575800548109
abundance,0.018522539033795995
abundant,0.0007040573256395463
abundantly,0.00032309923732820616
abuse,0.0008346983878389073
abused,2.600777493294706e-05
abuses,-7.902750454408151e-05
abusing,0.003992950991313432
abusive,-3.547060750830993e-05
ac,-0.005868374380400277
academical,-0.0001291532105513096
academies,-0.039653527045702804
academy,0.03442331369809054
acc,3.4324689473669644e-05
acceded,-0.025093532536628122
accelerate,-8.255414537186336e-05
accelerated,-0.0013135856224061732
accelerating,-0.00012583717520438757
acceleration,-0.0010456802359078636
accent,0.002406306153987604
accented,-0.0017466057058985781
accents,-0.003489839321759511
accept,0.0030879960564660232
acceptable,0.03181466932934349
acceptance,0.0013649221097330212
acceptation,-0.0011942900296091766
accepted,0.000690844434254805
accepting,0.004997886674097234
accepts,-0.0015532650697814914
access,0.0013491547260138968
accessible,-0.000802286764881489
accession,0.009851008906276762
accident,0.02963598365719406
accidental,0.0002196206766906889
accidentally,0.0010707302764107409
accidents,0.0006403703883837974
acclaimed,-0.010620521294273724
acclamation,-0.0016907095698720502
accommodate,3.1710939323379013e-07
accommodated,0.0033957363085360876
accommodating,-0.0001769454398618628
accommodation,0.09946245665659126
accommodations,1.4115371905383884e-05
accompanied,0.000965956051636223
accompanies,-0.0007317235186366023
accompaniment,-0.0006243299382427214
accompany,0.044429639742204284
accompanying,0.002031056835535768
accomplice,-0.0018337763554421404
accomplices,-0.0011862229588328202
accomplish,0.0007953800262031015
accomplished,0.0009486391561092514
accomplishing,-0.0013361940807374096
accomplishment,2.107896605579055e-05
accomplishments,0.00441732503915244
accord,-0.0013954006466417872
accordance,-5.0234612263490206e-05
accorded,-0.0014393627390133575
according,0.007322543565577505
accordingly,0.00025644220224542663
accords,-0.0011730004580725263
accosted,-0.0010444470327119545
accosting,-0.0002583456593861254
account,0.00028182456698616263
accountable,-0.0012648428656972148
accounted,0.0005684073764334242
accounting,-7.074262125520072e-05
accounts,0.0007037946693744435
accrued,-0.0006745429294112184
accruing,-9.681445869183138e-07
accumulate,0.06834606221114858
accumulated,6.507949592957102e-06
accumulating,0.014036908150872218
accumulation,0.0014523866460122322
accuracy,-0.0009627032780116885
accurate,-0.0012943348400492533
accurately,-0.018871769366376738
accusation,0.042601513699587035
accusations,0.0005590214188624816
accuse,-6.801035547309544e-06
accused,0.05525580567720883
accuser,-0.0001739617287527994
accusers,7.227051196805444e-06
accuses,-0.0001557231339540802
accusing,-0.0011730004580725263
accustom,-0.0009206150138728633
accustomed,0.001258517494239756
accustoming,-0.0012468941537276638
ache,-0.0011868491698063272
aches,-0.0006774866014554795
achieve,0.000773623599170857
achieved,0.001078770120623032
achievements,0.0001640776852157169
achieving,-0.038209948993947064
achromatic,-0.0018464014733555847
acid,-0.0006587643347539492
acknowledge,0.06718031683161822
acknowledged,8.827732929469643e-05
acknowledges,-0.0010487952751494782
acknowledging,-0.014052417683014016
acknowledgment,0.00990827597988212
acknowledgments,0.00012005953815342345
acquaint,0.00414113877327173
acquaintance,0.0010802371519573863
acquaintances,0.005496401859011857
acquainted,0.004336115405576635
acquainting,4.357931891206084e-05
acquaints,-6.251859734481935e-05
acquiesce,-0.00042285896962689074
