Word, Value
ab,-0.005462342828047374
abaft,-0.00547488719953323
abandon,-0.0030995284420850494
abandoned,-0.005385374668360868
abate,-0.0006459702138813693
abated,0.0008328081606872102
abatement,-0.0038029544846977167
abates,-0.005779868945574308
abating,-0.004941266852311399
abbe,0.000995827705827992
abbey,-0.005979471174031588
abbot,-0.004448327164226359
abbreviated,-0.13513748771338738
abbreviation,-0.00433086207958306
abbreviations,-0.0048784170181844924
abed,-0.002441617232330609
abetted,-0.03135438437927941
abettors,-0.005497865654553165
abhor,-0.0033254407678897533
abhorred,-0.0032086206114591946
abhorrence,-0.0026643349199073608
abhorring,-0.005309306593746897
abide,-0.005169856599317122
abiding,-0.004812805861121192
abilities,0.13840788814633564
ability,0.004933790570461111
abject,-0.03266792870736577
abjured,-0.0032019153759365302
able,0.0023203587803034375
ablest,-0.0034471508555241176
ably,0.0040402158477710025
aboard,-0.004097043077266539
abode,-0.005240797109647664
abolish,-0.01616493634241519
abolished,-0.004468016458810136
abolishing,0.001039128634746374
abolition,0.007787417098288347
abominable,-0.002535421762086319
abominated,-0.003952767139981774
abominations,-0.004000891157503073
abortive,-0.0028635200292941526
abound,-0.004625049177037403
abounding,-0.004134949137875896
abounds,-0.005979471174031588
abridge,-0.001957171665660922
abridged,-0.005066738180399317
abridging,-0.0027471164609104404
abridgment,0.005309306593746897
abroad,0.002749388180049267
abrogated,-0.005309306593746897
abrupt,-0.001097145888222769
abruptly,-0.005082765535950521
abscess,-0.005979471174031588
absence,0.002336678995392992
absent,0.0021230545566552437
absented,-0.004312628055289128
absentees,-0.0030193279414920363
absenting,-0.0009127103587495465
absolute,0.005694510081326653
absolutely,0.0024939488156762394
absolution,-0.027215473539525255
absolutists,-0.005000013466759551
absolves,-0.0011899694181785518
absorb,-0.005460391847188083
absorbed,-0.0052693433475499265
absorbing,-0.005979471174031588
absorbs,-0.005979471174031588
abstain,-9.513354917476037e-05
abstained,-0.005979471174031588
abstinence,-0.005314355035507724
abstract,-0.0029546718304481784
abstracted,-0.00654702233888165
abstraction,-0.0012883197758183015
abstractionist,-0.005000013466759551
abstractions,-0.005309306593746897
abstracts,-0.005000013466759551
abstruse,-0.00571580147423718
absurd,0.004724480167787837
absurdities,-0.003889030230861551
absurdity,-0.004582422847277737
absurdly,-0.005922650582331571
abundance,0.0024193769001725172
abundant,-0.0004891642095600943
abundantly,0.009422318879475883
abuse,0.005077286965039987
abused,0.00304465776919704
abuses,-0.0031506777012926253
abusing,-0.0028232376378885724
abusive,-0.0052274402719901395
ac,-0.005979471174031588
academical,-0.0030102025657227144
academies,-0.010747560596339719
academy,0.0032164309071800582
acc,-0.004923086726917091
acceded,-0.07984936227204302
accelerate,-0.003268823558244474
accelerated,-0.005779868945574308
accelerating,-0.035283844626118915
acceleration,-0.004392641635560293
accent,-0.004951354708431147
accented,-0.0031648857698476584
accents,-0.005028814064986146
accept,0.004509740048379058
acceptable,0.004986149501524284
acceptance,-0.0047283008828892525
acceptation,-0.003630890080247273
accepted,0.004663726814998025
accepting,0.004724328826049977
accepts,-0.0035309410759344437
access,0.0005817435682076672
accessible,-0.0020743784073025758
accession,0.004566962624975777
accident,0.0030507109076878015
accidental,0.0011952005320720947
accidentally,0.002075272783870965
accidents,0.022418437487489083
acclaimed,-0.0014763590972353398
acclamation,-0.003172712792813233
accommodate,-0.005340690090966304
accommodated,-0.0025964430163033262
accommodating,-0.005474886137485946
accommodation,0.004313917380690968
accommodations,-0.005741437702583395
accompanied,0.004118713621057179
accompanies,-0.005491549128336162
accompaniment,-0.005979471174031588
accompany,0.00018216581826754124
accompanying,-0.003404632854587341
accomplice,-0.005762858665262476
accomplices,-0.005979471174031588
accomplish,0.01801191197330696
accomplished,-0.16145667618555573
accomplishing,-0.0010178305376623718
accomplishment,-0.00531972846373722
accomplishments,-0.0024955294075455045
accord,-0.005504142353997046
accordance,-0.005979471174031588
accorded,-0.0040276409424257545
according,0.010752262279662573
accordingly,0.0052245446000724165
accords,-0.0016618807028115738
accosted,-0.003764005759168051
accosting,-0.0012716976737884894
account,0.004527351978476838
accountable,-0.005021721713228745
accounted,-0.004064916943484335
accounting,-0.014459607019734911
accounts,0.004064232985033936
accrued,-0.00934743711167728
accruing,-0.0013740211503147975
accumulate,-0.004678055956943345
accumulated,-0.005288250444309605
accumulating,-0.004181035086660679
accumulation,-0.005788687655190597
accuracy,-0.005254084383208139
accurate,-0.0056198433781029025
accurately,-0.013526886296232278
accusation,0.02930856906987972
accusations,0.00030826098297293507
accuse,-0.005655581800207189
accused,0.003065881722105082
accuser,-0.016680581539368376
accusers,-0.0031104338091010623
accuses,-0.0164787245845288
accusing,-0.0046811677554832055
accustom,-0.0032079480700170897
accustomed,0.0028490151185234574
accustoming,-0.005348301252821562
ache,-0.005176313846799153
aches,-0.005979471174031588
achieve,-0.0037875545335790805
achieved,-0.005309306593746897
achievements,-0.005729808284832041
achieving,-0.0025479040038061057
achromatic,-0.005234142852394596
acid,-0.004553485244951605
acknowledge,0.003840036131103467
acknowledged,0.004954512175004185
acknowledges,-8.415735688054724e-05
acknowledging,-0.005096284866842381
acknowledgment,-0.0014804799734501773
acknowledgments,-0.007854484322176954
acquaint,0.0006161694326257934
acquaintance,0.004792049740041412
acquaintances,-0.005494950334760702
acquainted,0.0030995374694869566
acquainting,-0.005212502045927886
acquaints,-0.0054269315165063215
acquiesce,0.00927978682383018
acquiesced,-0.004082035021595414
acquiescence,-0.005122445746546511
acquiescing,-0.0044536517382808265
acquire,0.003965379216981936
acquired,0.003599948394697689
